Image,Area Fraction (%) - M23C6,Area Fraction (%) - MX ZPhase,Area Fraction (%) - Laves,Number Density (features/um^2) - M23C6,Number Density (features/um^2) - MX ZPhase,Number Density (features/um^2) - Laves,Mean Intercept - Objects (Random) (um) - M23C6,Mean Intercept - Holes (Random) (um) - M23C6,Mean Inverse Intercept - Objects (Random) (1/um) - M23C6,Mean Inverse Intercept - Holes (Random) (1/um) - M23C6,Mode Intercept - Objects (Random) (um) - M23C6,Mode Intercept - Holes (Random) (um) - M23C6,Mode Inverse Intercept - Objects (Random) (1/um) - M23C6,Mode Inverse Intercept - Holes (Random) (1/um) - M23C6,ASTM Grain Size Number (Random Lines) - M23C6,Total Line Length (Random) (um) - M23C6,Total Intersections (Random) - M23C6,Mean Intercept - Objects (Random) (um) - MX ZPhase,Mean Intercept - Holes (Random) (um) - MX ZPhase,Mean Inverse Intercept - Objects (Random) (1/um) - MX ZPhase,Mean Inverse Intercept - Holes (Random) (1/um) - MX ZPhase,Mode Intercept - Objects (Random) (um) - MX ZPhase,Mode Intercept - Holes (Random) (um) - MX ZPhase,Mode Inverse Intercept - Objects (Random) (1/um) - MX ZPhase,Mode Inverse Intercept - Holes (Random) (1/um) - MX ZPhase,ASTM Grain Size Number (Random Lines) - MX ZPhase,Total Line Length (Random) (um) - MX ZPhase,Total Intersections (Random) - MX ZPhase,Mean Intercept - Objects (Random) (um) - Laves,Mean Intercept - Holes (Random) (um) - Laves,Mean Inverse Intercept - Objects (Random) (1/um) - Laves,Mean Inverse Intercept - Holes (Random) (1/um) - Laves,Mode Intercept - Objects (Random) (um) - Laves,Mode Intercept - Holes (Random) (um) - Laves,Mode Inverse Intercept - Objects (Random) (1/um) - Laves,Mode Inverse Intercept - Holes (Random) (1/um) - Laves,ASTM Grain Size Number (Random Lines) - Laves,Total Line Length (Random) (um) - Laves,Total Intersections (Random) - Laves,
T3_Mode2-GOO220_52_012_processed.tif,4.305000,0.298700,1.123000,3.294683,0.907539,0.088282,0.099249,1.698975,20.047023,6.791201,0.015000,0.150000,7.500000,1.500000,23.300000,15170.799069,14672.000000,0.053109,4.772497,28.823385,2.099231,0.030000,1.000000,12.500000,2.500000,25.100000,15149.075569,1910.000000,0.309494,4.382909,5.776851,5.872605,0.150000,1.500000,4.500000,5.000000,20.000000,14983.089145,1172.000000,
T3_Mode2-GOO220_52_013_processed.tif,3.465000,0.226100,0.712500,3.174620,0.681537,0.070626,0.085159,1.728242,21.235925,5.979312,0.015000,0.150000,7.500000,1.500000,23.800000,15086.562440,13324.000000,0.053115,5.150591,26.650510,2.546809,0.025000,1.000000,17.500000,2.500000,25.100000,15163.270546,1404.000000,0.257348,3.194573,6.688577,10.134474,0.225000,1.500000,2.500000,5.000000,20.600000,15217.692462,874.000000,
T3_Mode2-GOO220_52_014_processed.tif,3.354000,0.163000,0.393500,2.853273,0.607380,0.038844,0.086674,1.886039,22.175012,6.887627,0.015000,0.250000,7.500000,1.500000,23.700000,15071.049191,13030.000000,0.048479,4.946148,29.572819,3.411361,0.025000,1.500000,15.000000,2.500000,25.400000,15328.187547,1237.000000,0.250168,2.271819,8.393130,14.225061,0.250000,1.500000,5.000000,15.000000,20.600000,14987.477792,481.000000,
T3_Mode2-GOO220_52_015_processed.tif,2.872000,0.243100,0.699700,2.496614,0.554411,0.060032,0.088960,1.883921,22.406201,6.966434,0.030000,0.250000,7.500000,2.500000,23.600000,15160.823438,10475.000000,0.064420,4.564480,26.544822,1.809893,0.045000,1.000000,15.000000,2.500000,24.600000,15057.607185,1300.000000,0.288043,3.289721,6.260910,7.152374,0.250000,1.500000,2.500000,5.000000,20.200000,15052.885845,754.000000,
T3_Mode2-GOO220_52_016_processed.tif,3.751000,0.202200,0.529600,2.034017,0.914601,0.052969,0.111328,1.902665,19.068603,7.287146,0.030000,0.250000,7.500000,2.500000,23.000000,14736.247562,10412.000000,0.039069,4.673498,33.238047,2.995885,0.025000,1.000000,27.500000,2.500000,26.000000,14874.361220,1638.000000,0.257237,1.855016,6.283974,11.088493,0.225000,1.000000,2.500000,10.000000,20.600000,15389.215725,586.000000,
T3_Mode2-GOO220_52_017_processed.tif,3.408000,0.223100,0.616900,2.814429,0.886351,0.052969,0.099841,1.707740,20.940593,5.992260,0.030000,0.250000,7.500000,1.500000,23.300000,14596.932789,10632.000000,0.045095,5.204973,30.822963,2.359928,0.035000,1.000000,22.500000,2.500000,25.600000,14846.247472,1740.000000,0.276117,1.738542,6.489372,10.096108,0.250000,1.000000,2.500000,10.000000,20.400000,15055.521257,779.000000,
T3_Mode2-GOO220_52_019_processed.tif,3.555000,0.214500,0.286800,3.051025,0.808663,0.024719,0.083842,1.839871,21.960080,5.812110,0.015000,0.150000,7.500000,1.500000,23.800000,14948.419149,13889.000000,0.048648,5.259597,28.664244,2.265082,0.035000,1.500000,17.500000,2.500000,25.400000,15048.963266,1499.000000,0.277454,3.399775,6.436244,21.405197,0.150000,2.500000,2.500000,25.000000,20.300000,15457.855051,330.000000,
T3_Mode2-GOO220_52_020_processed.tif,3.401000,0.245500,0.448300,3.594842,0.734506,0.045907,0.079153,1.826510,23.607599,5.655142,0.015000,0.150000,7.500000,1.500000,24.000000,14927.113701,13982.000000,0.052902,5.004528,27.926678,3.164773,0.025000,1.000000,17.500000,2.500000,25.100000,15091.471681,1690.000000,0.257820,3.554689,7.977403,16.333831,0.150000,2.500000,2.500000,15.000000,20.600000,14873.109857,562.000000,
T3_Mode2-GOO220_52_021_processed.tif,3.395000,0.234700,0.775200,3.269964,0.709787,0.070626,0.084791,1.909165,22.037886,5.352618,0.015000,0.150000,10.500000,1.500000,23.800000,15275.521700,13548.000000,0.048140,4.469595,29.984663,3.164686,0.035000,1.000000,27.500000,2.500000,25.400000,15113.999177,1444.000000,0.247585,2.961128,7.429468,8.691566,0.150000,1.500000,2.500000,5.000000,20.700000,15036.666846,908.000000,
T3_Mode2-GOO220_52_022_processed.tif,3.233000,0.327200,0.171900,3.803187,0.819257,0.014125,0.078580,1.970623,24.382742,5.630768,0.015000,0.250000,12.500000,1.500000,24.000000,15300.586269,13462.000000,0.064373,4.816850,27.060796,3.604459,0.030000,1.000000,17.500000,2.500000,24.600000,15142.291594,1765.000000,0.290109,3.947906,6.397799,17.111379,0.250000,2.500000,2.500000,25.000000,20.200000,15175.512204,218.000000,
